Peak_Region	#Genes_in_Peak	Residual_Q-value	Frequency_Overall	Frequency_Focal	Frequency_High-level
chr9:21226817-23689717	21	0.0	0.387	0.154	0.089	
chr19:1441983-1728501	17	6.38E-231	0.279	0.125	0.0050	
chr8:2105621-6256533	1	4.55E-214	0.371	0.078	0.029	
chr10:89617401-90033423	2	1.57E-213	0.325	0.085	0.017	
chr5:58261529-59787458	2	1.03E-203	0.263	0.078	0.0080	
chr13:48838812-49062990	2	1.37E-174	0.349	0.088	0.015	
chr16:78129906-79627535	1	7.89E-158	0.31	0.063	0.01	
chr1:7829433-8403633	7	8.15E-154	0.263	0.12	0.0040	
chr4:178913816-183059542	1	8.57E-152	0.321	0.095	0.013	
chr6:161695943-163152563	1	5.54E-131	0.282	0.075	0.0060	
chr2:139658541-143627097	1	2.4E-96	0.142	0.063	0.0080	
chr22:48670715-49331012	46	7.96E-91	0.329	0.063	0.017	
chr11:456120-516520	21	2.08E-82	0.25	0.087	0.0030	
chr2:242121720-242476062	18	3.0E-77	0.187	0.106	0.0040	
chr4:90957655-93222143	1	1.19E-74	0.282	0.046	0.0040	
chr3:59044659-61538732	1	4.19E-74	0.319	0.073	0.0040	
chr18:74983005-77107934	12	5.89E-51	0.344	0.079	0.0090	
chr16:5152862-7764030	1	1.78E-48	0.15	0.025	0.0030	
chr15:37404050-42651625	73	3.71E-47	0.289	0.074	0.0050	
chr20:14304514-16036115	2	1.5E-33	0.095	0.023	0.0020	
chr9:7800297-12689377	1	6.79E-32	0.334	0.061	0.0090	
chr6:1616198-2250883	2	2.83E-30	0.157	0.051	0.0040	
chrX:30873422-34034134	4	9.33E-30	0.214	0.025	0.0030	
chr11:107733510-116617240	69	6.55E-22	0.257	0.082	0.0040	
chr14:66969095-67653632	1	8.63E-22	0.27	0.051	0.0010	
chr17:29327128-29711411	5	7.01E-19	0.201	0.038	0.0060	
chr11:133402468-134140152	14	3.57E-18	0.254	0.083	0.0050	
chr21:15372509-15587488	17	1.99E-14	0.224	0.04	0.0060	
chr1:109969293-118147142	109	1.8E-13	0.203	0.068	0.0010	
chr10:135190358-135206873	1	2.2E-11	0.307	0.066	0.0080	
chr10:415240-855263	7	4.46E-11	0.24	0.038	0.0070	
chr18:48477205-48698166	2	1.77E-10	0.334	0.056	0.0090	
chr12:12798668-12937928	4	1.82E-10	0.127	0.046	0.0020	
chr13:19450806-19747890	3	3.79E-10	0.305	0.069	0.0060	
chr3:2212571-3100649	3	1.88E-9	0.291	0.058	0.0020	
chr19:47244861-48214990	25	7.62E-8	0.193	0.066	0.0010	
chr7:151820833-152135594	1	3.67E-7	0.111	0.055	0.0010	
chr17:11902039-12450690	3	6.44E-7	0.38	0.032	0.0090	
chr7:708774-1261364	20	2.58E-6	0.088	0.039	0.0020	
chr8:22786150-26605660	31	5.18E-6	0.373	0.064	0.023	
chr7:109602835-111366122	2	8.92E-6	0.092	0.036	0.0020	
chr19:58664447-58878226	24	1.49E-5	0.181	0.064	0.0020	
chr12:132609960-133155338	20	3.39E-5	0.151	0.063	0.0010	
chr12:99125633-100428331	2	7.57E-4	0.138	0.048	0.0010	
chr6:84938307-105724641	71	0.00141	0.26	0.048	0.0020	
chr4:1053934-1237014	28	0.00271	0.258	0.036	0.0040	
chr17:7540083-7583743	2	0.0074	0.386	0.04	0.0050	
chr5:96521044-121645690	70	0.00861	0.266	0.059	0.0030	
chr9:38626309-71149229	50	0.0107	0.259	0.028	0.0020	
chr9:135567169-135853337	3	0.0793	0.258	0.036	0.0020	
chr17:80703380-80917016	5	0.212	0.141	0.038	0.0020	
chr15:23687685-101884307	821	1.0	0.287	0.074	0.0050	
chr15:23687685-31194481	137	1.0	0.262	0.061	0.0050	
