Peak_Region	#Genes_in_Peak	Residual_Q-value	Frequency_Overall	Frequency_Focal	Frequency_High-level
chr3:169406986-169490229	2	0.0	0.347	0.162	0.098	
chr8:128739771-128769210	1	0.0	0.463	0.169	0.145	
chr11:69460105-69487995	2	0.0	0.212	0.116	0.065	
chr7:55075820-55094898	1	7.32E-299	0.391	0.076	0.087	
chr19:30306820-30315270	1	7.79E-178	0.248	0.081	0.057	
chr17:37854507-37875909	1	1.02E-121	0.202	0.058	0.039	
chr8:38171486-38250450	2	1.44E-90	0.241	0.071	0.06	
chr1:150517356-150722795	8	1.63E-90	0.382	0.117	0.081	
chr12:69204949-69265196	2	2.49E-69	0.216	0.058	0.042	
chr5:1288661-1299329	1	3.51E-58	0.327	0.088	0.078	
chr20:52162397-52359551	1	3.75E-42	0.418	0.064	0.089	
chr4:55023849-55103884	1	1.26E-35	0.117	0.055	0.023	
chr17:73461930-73644409	8	1.06E-34	0.263	0.102	0.027	
chr12:58138771-58156381	5	3.93E-33	0.21	0.05	0.035	
chr15:99056932-99774542	6	7.75E-24	0.146	0.071	0.019	
chr19:15333499-15408584	2	4.65E-21	0.196	0.053	0.03	
chr12:25330451-25402208	3	6.96E-20	0.252	0.047	0.05	
chr1:204376208-204538342	3	1.41E-19	0.378	0.084	0.069	
chr1:40340702-40416849	2	2.28E-19	0.15	0.06	0.019	
chr6:20392010-20530197	2	4.4E-17	0.209	0.062	0.029	
chrX:153006495-153342426	19	8.64E-17	0.18	0.07	0.019	
chr8:41702356-41994151	2	1.02E-15	0.269	0.065	0.058	
chr13:113754904-114288971	12	1.42E-13	0.182	0.068	0.032	
chr12:889902-1069638	12	1.35E-12	0.255	0.067	0.047	
chr20:30172117-30318827	5	3.34E-12	0.407	0.051	0.079	
chr7:92178043-92529900	3	5.08E-11	0.371	0.047	0.05	
chr14:36582420-37242901	6	7.91E-11	0.149	0.049	0.02	
chr6:43631245-43987936	5	2.65E-9	0.203	0.052	0.027	
chr11:77569042-77813677	7	3.09E-8	0.173	0.079	0.032	
chr4:1778801-1816690	2	1.39E-6	0.108	0.048	0.017	
chr5:176452462-176904216	15	1.28E-5	0.172	0.068	0.015	
chr2:178075676-178170781	6	2.32E-5	0.171	0.054	0.014	
chr9:35654478-35737197	8	7.0E-5	0.142	0.048	0.02	
chr1:242609679-247812431	85	0.0012	0.364	0.096	0.062	
chr11:34639284-34854662	1	0.0021	0.129	0.037	0.015	
chr18:20358314-20477529	0	0.00222	0.147	0.039	0.023	
chr10:79435208-79770550	3	0.00327	0.11	0.039	0.014	
chr6:107166555-107289865	2	0.0106	0.11	0.029	0.015	
chr10:5013516-5101104	3	0.011	0.169	0.05	0.023	
chr22:18613737-22157661	90	0.033	0.144	0.043	0.015	
chr7:153990143-158383607	32	0.0565	0.351	0.057	0.042	
